Source	Target	Start Time	End Time	Duration
Satellite 16	IoT Device 11	01-Jan-2024 00:34:00	01-Jan-2024 00:42:00	480
Satellite 17	IoT Device 2	01-Jan-2024 00:34:00	01-Jan-2024 00:40:00	360
Satellite 17	IoT Device 6	01-Jan-2024 00:34:00	01-Jan-2024 00:44:00	600
Satellite 15	IoT Device 2	01-Jan-2024 00:35:00	01-Jan-2024 00:42:00	420
Satellite 17	IoT Device 10	01-Jan-2024 00:35:00	01-Jan-2024 00:36:00	60
Satellite 18	IoT Device 11	01-Jan-2024 00:35:00	01-Jan-2024 00:39:00	240
Satellite 18	Ground Station 1	01-Jan-2024 00:36:00	01-Jan-2024 00:44:00	480
Satellite 17	IoT Device 5	01-Jan-2024 00:38:00	01-Jan-2024 00:49:00	660
Satellite 16	Ground Station 1	01-Jan-2024 00:39:00	01-Jan-2024 00:40:00	60
Satellite 18	IoT Device 5	01-Jan-2024 00:40:00	01-Jan-2024 00:48:00	480
